Problem,Deliveries,Demand,Avg.Bags.Del,Time Window,Sol. Distance, Sol. Time,Sol. CostDel,Routes,Sol. Cost,Sol. Avg. Dels Route,Sol. Loading Factor
A-n33-k5,33,446,13.0,3,2277.7319434120286,2418.0,6.4620955995049485,13,2882.094637379207,2,34.30769230769231
A-n33-k5,33,446,13.0,3,2214.8943277017574,2440.0,6.087763758612344,12,2715.1426363411056,2,37.166666666666664
A-n33-k5,33,446,13.0,3,2005.089568958209,2627.0,4.645729774816392,8,2071.9954795681106,4,55.75
A-n33-k5,33,446,13.0,3,2269.760928739107,2440.0,4.263591992516761,7,1901.5620286624755,4,63.714285714285715
A-n33-k5,33,446,13.0,3,2291.3032649056163,2414.0,4.993010049313805,9,2226.8824819939573,3,49.55555555555556
A-n33-k5,33,446,13.0,3,2336.173649276405,2354.0,3.874736136693586,6,1728.1323169653394,5,74.33333333333333
A-n33-k5,33,446,13.0,3,2288.1486874141247,2456.0,3.9078775704651405,6,1742.9133964274527,5,74.33333333333333
0,1,2,3,4,5,6,7,8,9,
Grand front ,2,A-n33-k5.vrp,n,37,obj0Min,2187.632029438125,obj0Max,3075.218586171729,obj1Min,2379.0,obj1Max,3531.0,obj2Min,4.663339053298209,obj2Max,8.532195308260166
A-n33-k5,33,446,13.0,2,2825.748329651895,2471.0,5.894198552845901,11,2628.812554569272,3,40.54545454545455
A-n33-k5,33,446,13.0,2,2795.2309412731165,2379.0,7.315789282800347,15,3262.842020128955,2,29.733333333333334
A-n33-k5,33,446,13.0,2,2892.366281454828,2454.0,7.0071902576910645,14,3125.206854930215,2,31.857142857142858
