prob,winlen,dist,time,costDel,routes
A-n60-k9.vrp,1,5521.888238,7554,6.16267904,18
A-n60-k9.vrp,1,5545.455199,7912,5.856716838,16
A-n60-k9.vrp,1,5609.423803,7895,6.059472358,17
A-n60-k9.vrp,14,5833.193506,3896,3.543647334,9
A-n60-k9.vrp,14,4592.626568,3911,3.372180107,9
A-n60-k9.vrp,14,4547.620958,3923,3.368723344,9
A-n61-k9.vrp,1,4098.646998,9640,7.909086665,28
A-n61-k9.vrp,1,4674.494151,5850,5.275611091,18
A-n61-k9.vrp,1,4668.48007,5927,5.292217139,18
A-n61-k9.vrp,1,4617.99345,5878,5.459779925,19
A-n61-k9.vrp,1,4611.875745,6063,5.500779053,19
A-n61-k9.vrp,1,4644.290686,5751,5.434555944,19
A-n61-k9.vrp,1,4785.122875,5661,5.803456922,21
A-n61-k9.vrp,1,4685.569793,5978,5.120691148,17
A-n61-k9.vrp,1,4817.432044,5713,5.448858248,19
A-n61-k9.vrp,1,4612.465449,6016,5.304924811,18
A-n61-k9.vrp,1,4636.854219,5977,5.299335529,18
A-n61-k9.vrp,1,4671.978274,5723,5.431888653,19
A-n61-k9.vrp,1,4211.511364,6161,5.840617887,21
A-n61-k9.vrp,1,4176.296129,6208,6.031894517,22
A-n61-k9.vrp,1,4166.258628,6310,5.497686169,19
A-n61-k9.vrp,1,4722.136916,5659,6.906542395,27
A-n61-k9.vrp,1,4189.038776,6261,5.67493507,20
A-n61-k9.vrp,1,4509.644161,5578,7.78669872,32
A-n61-k9.vrp,1,4739.529671,5534,7.80714686,32
A-n61-k9.vrp,1,4493.702686,5869,5.99724657,22
A-n61-k9.vrp,1,5070.842288,5618,7.684619828,31
A-n61-k9.vrp,1,4304.682047,5931,5.800957966,21
A-n61-k9.vrp,1,4223.796532,5967,5.613089485,20
A-n61-k9.vrp,1,4184.452465,6292,5.866645128,21
A-n61-k9.vrp,1,4436.288686,5848,6.726153419,26
A-n61-k9.vrp,1,4224.896093,6089,5.455494738,19
A-n61-k9.vrp,1,4464.468311,5906,5.816432534,21
A-n61-k9.vrp,14,3763.094319,3345,3.106533373,10
